Time,Susceptible,Infected,Recovered/Deaths,Country
2020-06-17,232544,1021232,4193233,Slovakia
2020-06-18,227732,998665,4220613,Slovakia
2020-06-19,220935,965536,4260539,Slovakia
2020-06-20,216676,943924,4286409,Slovakia
2020-06-21,212591,922717,4311701,Slovakia
2020-06-22,206763,891667,4348579,Slovakia
2020-06-23,203069,871468,4372473,Slovakia
2020-06-24,199521,851663,4395826,Slovakia
2020-06-25,196113,832248,4418648,Slovakia
2020-06-26,191252,803848,4451909,Slovakia
2020-06-27,188172,785389,4473449,Slovakia
2020-06-28,185212,767303,4494494,Slovakia
2020-06-29,180990,740866,4525153,Slovakia
2020-06-30,178313,723694,4545002,Slovakia
2020-07-01,175741,706880,4564389,Slovakia
2020-07-02,172068,682317,4592625,Slovakia
2020-07-03,169736,666373,4610900,Slovakia
2020-07-04,167494,650770,4628746,Slovakia
2020-07-05,164288,627991,4654730,Slovakia
2020-07-06,162251,613215,4671543,Slovakia
2020-07-07,160289,598762,4687959,Slovakia
2020-07-08,157479,577674,4711857,Slovakia
2020-07-09,155689,564004,4727317,Slovakia
2020-07-10,153962,550638,4742410,Slovakia
2020-07-11,151484,531148,4764378,Slovakia
2020-07-12,149901,518519,4778589,Slovakia
2020-07-13,148372,506177,4792461,Slovakia
2020-07-14,146170,488187,4812652,Slovakia
2020-07-15,144761,476536,4825713,Slovakia
2020-07-16,143395,465152,4838463,Slovakia
2020-07-17,142071,454029,4850909,Slovakia
2020-07-18,140160,437824,4869026,Slovakia
2020-07-19,138932,427331,4880747,Slovakia
2020-07-20,137743,417080,4892187,Slovakia
2020-07-21,136031,402144,4908835,Slovakia
2020-07-22,134935,392474,4919601,Slovakia
2020-07-23,133874,383028,4930107,Slovakia
2020-07-24,132346,369269,4945395,Slovakia
2020-07-25,131367,360363,4955280,Slovakia
2020-07-26,130418,351665,4964926,Slovakia
2020-07-27,129050,338998,4978961,Slovakia
2020-07-28,128174,330801,4988035,Slovakia
2020-07-29,127324,322796,4996890,Slovakia
2020-07-30,126098,311140,5009772,Slovakia
2020-07-31,125701,307347,5013961,Slovakia
2020-03-23,1657423,291618,118329,Slovenia
2020-03-24,1581629,358417,127325,Slovenia
2020-03-25,1493752,435313,138306,Slovenia
2020-03-26,1445355,477378,144638,Slovenia
2020-03-27,1340334,567891,159146,Slovenia
2020-03-28,1226022,665078,176271,Slovenia
2020-03-29,1166252,715261,185857,Slovenia
2020-03-30,1043794,816453,207123,Slovenia
2020-03-31,921067,915106,231197,Slovenia
2020-04-01,860788,962318,244265,Slovenia
2020-04-02,744450,1050630,272290,Slovenia
2020-04-03,635964,1128820,302587,Slovenia
2020-04-04,537345,1195178,334847,Slovenia
2020-04-05,492160,1223594,351616,Slovenia
2020-04-06,410483,1270662,386226,Slovenia
2020-04-07,340435,1304947,421988,Slovenia
2020-04-08,309612,1317563,440195,Slovenia
2020-04-09,255617,1334717,477036,Slovenia
2020-04-10,210629,1342526,514215,Slovenia
2020-04-11,191118,1343391,532862,Slovenia
2020-04-12,157329,1339900,570141,Slovenia
2020-04-13,129630,1330493,607248,Slovenia
2020-04-14,107043,1316314,644014,Slovenia
2020-04-15,97358,1307783,662229,Slovenia
2020-04-16,80690,1288404,698277,Slovenia
2020-04-17,67074,1266540,733757,Slovenia
2020-04-18,61229,1254878,751264,Slovenia
2020-04-19,51155,1230433,785783,Slovenia
2020-04-20,42898,1204870,819602,Slovenia
2020-04-21,39338,1191793,836240,Slovenia
2020-04-22,33170,1165235,868965,Slovenia
2020-04-23,28082,1138339,900949,Slovenia
2020-04-24,25879,1124830,916662,Slovenia
2020-04-25,22044,1097801,947525,Slovenia
2020-04-26,18850,1070881,977639,Slovenia
2020-04-27,16178,1044187,1007006,Slovenia
2020-04-28,15008,1030951,1021412,Slovenia
2020-04-29,12953,1004742,1049675,Slovenia
2020-04-30,11224,978929,1077217,Slovenia
2020-05-01,10464,966185,1090722,Slovenia
2020-05-02,9120,941048,1117203,Slovenia
2020-05-03,7976,916401,1142993,Slovenia
2020-05-04,7469,904269,1155633,Slovenia
2020-05-05,6564,880395,1180411,Slovenia
2020-05-06,5789,857048,1204534,Slovenia
2020-05-07,5123,834232,1228016,Slovenia
2020-05-08,4826,823024,1239521,Slovenia
2020-05-09,4293,801008,1262069,Slovenia
2020-05-10,3830,779526,1284014,Slovenia
2020-05-11,3622,768983,1294765,Slovenia
2020-05-12,3247,748293,1315831,Slovenia
2020-05-13,2918,728123,1336329,Slovenia
2020-05-14,2769,718231,1346370,Slovenia
2020-05-15,2499,698827,1366045,Slovenia
2020-05-16,2262,679921,1385187,Slovenia
2020-05-17,2155,670652,1394563,Slovenia
2020-05-18,1959,652478,1412934,Slovenia
